,int_rate,dti,fico_avg,annual_inc,loan_amnt,term,revol_util,inq_last_6mths,delinq_2yrs,open_acc,payment_to_income,log_loan_amnt,log_revol_bal,credit_history_age_days,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,application_type_Joint App
7539,11.99,26.46,717.0,130000.0,3600.0,36,34.2,0.0,0.0,16.0,0.0009196852331905139,8.188966863648876,9.599608345181776,4839,0,1,0,0,0,0,0,0,0,0,0
5544,9.8,25.97,677.0,76800.0,6000.0,36,68.9,0.0,0.0,17.0,0.002513639145323629,8.699681400989512,10.203592144986466,4901,1,0,0,0,0,0,0,0,0,0,0
5485,6.99,34.39,817.0,58000.0,15000.0,36,9.1,0.0,0.0,15.0,0.007984172686677815,9.61587214452889,11.187998326488534,9891,0,0,0,0,0,0,1,0,0,0,0
8923,19.99,14.03,712.0,70490.0,25000.0,60,12.6,3.0,0.0,9.0,0.009394248911208524,10.12667110305036,8.197263371414335,4839,0,0,0,1,0,0,0,1,0,1,0
9030,6.24,11.1,722.0,237510.0,26000.0,36,47.0,1.0,0.0,13.0,0.003342203097961778,10.165890277802454,11.172503438187732,10683,0,0,0,0,0,0,0,0,1,0,0
2911,12.88,6.36,667.0,180000.0,32000.0,36,71.0,2.0,0.0,16.0,0.005979744556974683,10.373522431293592,10.707840631169418,10288,0,1,0,0,0,0,0,0,0,1,0
6393,14.85,13.66,692.0,60000.0,13250.0,36,17.9,3.0,2.0,17.0,0.007639039349344178,9.491828300264636,7.9291264873067995,5416,0,1,0,0,0,0,0,1,0,0,0
2103,9.8,11.75,687.0,70000.0,1000.0,36,80.2,1.0,0.0,7.0,0.0004597077184611648,6.90875477931522,9.312264991698108,2344,1,0,0,0,0,0,0,1,1,0,0
7174,13.18,35.59,662.0,55000.0,9000.0,36,77.1,0.0,0.0,8.0,0.005527717677860402,9.105090961257085,10.212111309194736,4536,0,1,0,0,0,0,0,1,0,1,0
5319,7.49,11.14,772.0,79990.0,7200.0,36,25.9,0.0,0.0,10.0,0.002799564951056994,8.881975184248866,9.203416456903359,7243,0,0,0,0,0,0,0,0,1,0,0
8160,6.24,9.65,702.0,82500.0,10000.0,36,19.9,0.0,1.0,11.0,0.0037006824159707156,9.210440366976515,8.873888135154973,4292,0,0,0,0,0,0,0,0,0,0,0
579,18.99,29.6,677.0,60000.0,20800.0,60,69.3,0.0,0.0,15.0,0.008990683488608524,9.942756341456828,9.60911649193355,3409,0,0,0,1,0,0,0,1,1,0,0
9901,9.76,14.7,712.0,43000.0,19775.0,36,57.4,0.0,0.0,9.0,0.01478709797446571,9.892224360257417,10.060534035475412,12693,1,0,0,0,0,0,0,1,1,0,0
2431,9.17,25.43,687.0,32000.0,7200.0,36,30.0,1.0,0.0,7.0,0.007172588356613856,8.881975184248866,8.394121193826242,6696,1,0,0,0,0,0,0,1,0,0,0
7231,7.91,24.01,712.0,94272.0,15000.0,36,37.5,0.0,0.0,16.0,0.0049794745048953575,9.61587214452889,10.461044078789724,13483,0,0,0,0,0,0,1,0,0,1,0
6781,18.49,35.09,707.0,142000.0,19200.0,36,49.6,2.0,1.0,11.0,0.004921514637220865,9.862717639992916,0.0,7061,0,0,1,0,0,0,0,1,0,0,0
1013,11.99,6.74,687.0,42000.0,3000.0,36,50.4,1.0,0.0,4.0,0.0023720863788957406,8.006700845440367,7.908754738783246,6543,0,1,0,0,0,0,0,1,1,0,0
258,11.48,20.38,662.0,50000.0,1800.0,36,95.7,0.0,0.0,9.0,0.0011867762644747106,7.496097345175956,9.224341891611996,5082,1,0,0,0,0,0,0,1,0,0,0
2186,13.99,13.49,707.0,49000.0,10000.0,60,78.3,1.0,0.0,9.0,0.004747658211056917,9.210440366976515,7.91644286012226,4536,0,1,0,0,0,0,0,0,1,0,0
8610,7.26,16.48,717.0,79000.0,18000.0,36,46.0,0.0,1.0,8.0,0.007062442247566487,9.798182590890704,9.731512287796317,7183,0,0,0,0,0,0,0,0,0,0,0
6523,13.44,39.6,682.0,40000.0,9800.0,36,53.6,0.0,1.0,8.0,0.008307042323941902,9.19023970026918,8.654517382279456,4809,0,1,0,0,0,0,0,1,0,1,0
5368,8.49,30.34,692.0,85000.0,15000.0,36,59.2,0.0,1.0,21.0,0.00556993447135916,9.61587214452889,11.518688824859332,11110,1,0,0,0,0,0,1,0,1,0,0
6908,5.32,28.13,712.0,100000.0,21600.0,36,61.0,0.0,2.0,22.0,0.006504734952650474,9.980494888896912,10.728167254307545,11963,0,0,0,0,0,0,0,0,0,0,0
8385,16.55,35.34,672.0,65000.0,5000.0,36,50.5,4.0,0.0,23.0,0.002725342687035584,8.517393171418904,9.899278707762074,5416,0,0,1,0,0,0,1,0,1,0,0
1865,13.44,14.94,662.0,75000.0,4000.0,36,77.2,1.0,0.0,16.0,0.001808375888321489,8.294299608857235,9.968057323185429,7731,0,1,0,0,0,0,0,0,1,0,0
2097,8.49,4.62,667.0,150000.0,10000.0,36,39.5,0.0,0.0,11.0,0.002104185972093519,9.210440366976515,9.26407069439715,12783,1,0,0,0,0,0,0,0,1,0,0
1841,16.59,23.53,702.0,81000.0,21000.0,36,84.9,0.0,0.0,21.0,0.009190380365674497,9.952325334619427,10.352331383946238,5174,0,0,1,0,0,0,0,0,0,1,0
1586,21.48,18.02,692.0,150000.0,21000.0,60,44.2,1.0,0.0,16.0,0.0038253744975033496,9.952325334619427,10.363061986291324,4536,0,0,0,1,0,0,0,0,0,0,0
3260,13.44,26.22,687.0,65000.0,15000.0,36,48.6,2.0,0.0,13.0,0.00782449500776911,9.61587214452889,9.418085981110295,11260,0,1,0,0,0,0,0,1,0,1,0
4234,7.91,23.03,712.0,72000.0,30000.0,36,25.8,0.0,1.0,29.0,0.013039402230524577,10.308985993422082,10.510259517349327,4627,0,0,0,0,0,0,0,0,1,0,0
1266,12.88,8.72,667.0,72000.0,12000.0,36,86.8,0.0,0.0,6.0,0.005606033249538201,9.392745258631441,8.558527054909215,4778,0,1,0,0,0,0,0,0,0,0,0
4182,10.78,3.4,712.0,52000.0,10000.0,36,27.4,0.0,0.0,6.0,0.006275840849214439,9.210440366976515,9.102643796520809,4686,1,0,0,0,0,0,0,1,0,0,0
